Company Name, Telephone, Email, Website
Aktrion Food, 4401992712229, sales@aktrion.com, http://www.aktrionfood.com
Bunting Magnetics Europe, 440152765858, info@mastermagnets.co.uk, https://www.mastermagnets.com/
Camb Machine Knives International, 01454322178, Sales@camb-knives.co.uk, http://www.camb-knives.co.uk
Central Hygiene LTD, 4401782959909, info@central-hygiene.co.uk, http://www.central-hygiene.co.uk/shop/
Datamark UK Ltd, 01482506560, sales@datamarkuk.com, http://www.datamarkuk.com
Dixon Europe, 4401772323529, sales@dixoneurope.co.uk, http://dixoneurope.co.uk
Dynascan, NaN, sales@dynascan.co.uk, http://www.cambridge-sensotec.co.uk/dynascan/
Electronic Temperature Instruments Ltd, 01903202151, sales@etiltd.co.uk, http://thermometer.co.uk
Harford Control, 01225764461, info@harfordcontrol.com, http://harfordcontrol.com/
HpE Process Ltd, 01132526712, NaN, http://www.hpeprocess.com/
HpE Process Ltd, 01132526712, NaN, http://www.hpeprocess.com/
Jacob UK Ltd, 01964723473, sales@jacob-uk.com, http://www.jacob-uk.com
KLUBER LUBRICATION GB LTD, 441422205115, sales@uk.klueber.com, https://www.klueber.com/uk/en/homepage/
LOBO Systems Ltd, 01332365666, sales@lobosystems.com, https://www.lobosystems.com/
National Flexible, 01274685566, sales@nationalflexible.net, http://www.nationalflexible.co.uk
Needlers PPE, 01482467500, sales@needlers.co.uk, http://www.needlers.co.uk/
OAL (Olympus Automation Ltd.), 4401733394700, sales@oalgroup.com, http://www.oalgroup.com
Packline Material Handling, 4401202307700, info@packline.co.uk, http://www.packline.co.uk/
Packline Material Handling, 4401202307700, info@packline.co.uk, http://www.packline.co.uk
Parkers Food Machinery, 03300584650, sales@pfmplus.co.uk, http://www.pfmplus.co.uk
Penn Packaging, 01473893990, contact@penn-packaging.co.uk, http://www.penn-packaging.co.uk
R-Biopharm Rhone, 01419452924, info@r-biopharmrhone.com, http://www.r-biopharm.com
Ravenwood Packaging, 01284749144, marketing@ravenwood.co.uk, http://www.ravenwood.co.uk/
Rittal Ltd, 01709704000, information@rittal.co.uk, http://www.rittal.co.uk
Rotronic Measurement Solutions, 4401293571000, instruments@rotronic.co.uk, http://www.rotronic.co.uk/humidity_measurement-feuchtemessung-mesure_de_l_humidite/humidity-feuchtemessung-landing-mr
SEEPEX UK Ltd, 01935472376, sales.uk@seepex.com, http://www.seepex.com
TD Cross LTD, 4401213600155, sales@crossmorse.com, http://www.cross-morse.co.uk/index.asp
The Natural Resources Institute – University of Greenwich, 4401634880088, NaN, http://www.nri.org/
